"Niveau 1";"Niveau 2";"Niveau 3";"Niveau 4";"Niveau 5";"Niveau 6";"Niveau 7";"Niveau 8";"Niveau 9";"Priorité";"Progression";"Date de début";"Échéance";"Durée (jours)";Effort (jours);"Jalon";"Ressources";
"Contentieux civils et sociaux";"Siège Non Spécialisé";"2. JAF";"2.2. Divorce - contentieux";"20 Divorce";"20L";;;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"2. JAF";"2.2. Divorce - contentieux";"20 Divorce";"20X";"20X Divorce - nature d'affaire indéterminée";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"2. JAF";"2.3. Après et hors divorce";"12 Nom - prénom";"12B";"12B Demande relative à l'usage du nom d'un conjoint ou d'un ex-conjoint";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"2. JAF";"2.3. Après et hors divorce";"12 Nom - prénom";"12C";"12C Contestation du choix du prénom par le procureur de la République";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"2. JAF";"2.3. Après et hors divorce";"22 Demandes postérieures au prononcé du divorce ou de la séparation de corps";"22A";"22A Demande de modification de l'exercice de l'autorité parentale ou de la résidence habituelle des enfants mineurs - après divorce ou séparation de corps -";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"2. JAF";"2.3. Après et hors divorce";"22 Demandes postérieures au prononcé du divorce ou de la séparation de corps";"22B";"22B Demande de révision de la prestation compensatoire";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"2. JAF";"2.3. Après et hors divorce";"22 Demandes postérieures au prononcé du divorce ou de la séparation de corps";"22C";"22C Demande de modification de la contribution à l'entretien des enfants - après divorce ou séparation de corps -";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"2. JAF";"2.3. Après et hors divorce";"22 Demandes postérieures au prononcé du divorce ou de la séparation de corps";"22D";"22D Demande de fixation ou de modification de la pension alimentaire versée au conjoint";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"2. JAF";"2.3. Après et hors divorce";"22 Demandes postérieures au prononcé du divorce ou de la séparation de corps";"22E";"22E Demande de modification du droit de visite - après divorce ou séparation de corps -";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"2. JAF";"2.3. Après et hors divorce";"22 Demandes postérieures au prononcé du divorce ou de la séparation de corps";"22F";"22F Demande relative au bail concédé à l'un des époux";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"2. JAF";"2.4. Liquidation partage";"22 Demandes postérieures au prononcé du divorce ou de la séparation de corps";"22G";"22G Demande relative à la liquidation du régime matrimonial";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"2. JAF";"2.5. Autorité parentale";"27 Autorité parentale";"27A";"27A Demande relative au droit de visite des grands-parents ou autres personnes, parents ou non";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"2. JAF";"2.5. Autorité parentale";"27 Autorité parentale";"27B";"27B Demande tendant à faire trancher un conflit relatif à l'exercice de l'autorité parentale - parents mariés -";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"2. JAF";"2.5. Autorité parentale";"27 Autorité parentale";"27C";"27C Demande de délégation ou de transfert de délégation de l'autorité parentale";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"2. JAF";"2.5. Autorité parentale";"27 Autorité parentale";"27D";"27D Demande de retrait total de l'autorité parentale";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"2. JAF";"2.5. Autorité parentale";"27 Autorité parentale";"27E";"27E Demande de restitution de l'autorité parentale";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"2. JAF";"2.5. Autorité parentale";"27 Autorité parentale";"27F";"27F Demande relative à l'exercice de l'autorité parentale, à la fixation de la résidence habituelle des enfants mineurs, ou au droit de visite - parents non mariés -";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"2. JAF";"2.5. Autorité parentale";"27 Autorité parentale";"27I";"27I Demande relative à l'exercice de l'autorité parentale à l'égard de l'enfant qui a fait l'objet d'une adoption simple par le conjoint";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"2. JAF";"2.5. Autorité parentale";"27 Autorité parentale";"27J";"27J Demande aux fins d'obtenir le retour de l'enfant - enlèvement international d'enfant -";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"2. JAF";"2.5. Autorité parentale";"27 Autorité parentale";"27K";"27K Demande d'interdiction de sortie de territoire d'un mineur sans l'autorisation des deux parents";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"2. JAF";"2.5. Autorité parentale";"27 Autorité parentale";"27L";"27L Demande en déclaration judiciaire de délaissement parental";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"2. JAF";"2.5. Autorité parentale";"27 Autorité parentale";"27Z";"27Z Autres demandes relatives à l'autorité parentale";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"2. JAF";"2.6. Obligations à caractère alimentaire";"24 Obligations à caractère alimentaire";"24A";"24A Demande relative à la pension alimentaire des enfants nés hors mariage";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"2. JAF";"2.6. Obligations à caractère alimentaire";"24 Obligations à caractère alimentaire";"24B";"24B Demande tendant à faire décharger le débiteur de tout ou partie de sa dette pour cause d'ingratitude du créancier";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"2. JAF";"2.6. Obligations à caractère alimentaire";"24 Obligations à caractère alimentaire";"24C";"24C Demande d'entretien formée par l'enfant majeur";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"2. JAF";"2.6. Obligations à caractère alimentaire";"24 Obligations à caractère alimentaire";"24D";"24D Recours entre codébiteurs d'aliments";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"2. JAF";"2.6. Obligations à caractère alimentaire";"24 Obligations à caractère alimentaire";"24E";"24E Recours des tiers payeurs contre les débiteurs d'aliments";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"2. JAF";"2.6. Obligations à caractère alimentaire";"24 Obligations à caractère alimentaire";"24F";"24F Contribution aux charges du mariage";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"2. JAF";"2.6. Obligations à caractère alimentaire";"24 Obligations à caractère alimentaire";"24G";"24G Action à fin de subsides";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"2. JAF";"2.6. Obligations à caractère alimentaire";"24 Obligations à caractère alimentaire";"24I";"24I Demande relative à la fixation de la pension alimentaire des enfants - parents non mariés -";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"2. JAF";"2.6. Obligations à caractère alimentaire";"24 Obligations à caractère alimentaire";"24J";"24J Demande relative à la révision de la pension alimentaire des enfants - parents non mariés -";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"2. JAF";"2.6. Obligations à caractère alimentaire";"24 Obligations à caractère alimentaire";"24K";"24K Demande relative à la fixation de l'obligation alimentaire formée par l'enfant majeur à l'égard de ses parents ou autres ascendants";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"2. JAF";"2.6. Obligations à caractère alimentaire";"24 Obligations à caractère alimentaire";"24L";"24L Demande relative à la révision de l'obligation alimentaire formée par l'enfant majeur à l'égard de ses parents ou autres ascendants";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"2. JAF";"2.6. Obligations à caractère alimentaire";"24 Obligations à caractère alimentaire";"24M";"24M Demande relative à la fixation ou à la révision de l'obligation alimentaire formée par des parents ou autres ascendants à l'égard de leurs enfants";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"2. JAF";"2.6. Obligations à caractère alimentaire";"24 Obligations à caractère alimentaire";"24Z";"24Z Autres demandes en matière d'obligation alimentaire";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"2. JAF";"2.7. Tutelles mineurs";"15 Incapacités des mineurs";"15A";"15A Demande d'autorisation d'un acte ou de désignation d'un administrateur ad hoc dans le cadre d'une administration légale pure et simple";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"2. JAF";"2.7. Tutelles mineurs";"15 Incapacités des mineurs";"15B";"15B Demande d'autorisation d'un acte ou de désignation d'un administrateur ad hoc dans le cadre de l'administration légale sous contrôle judiciaire";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"2. JAF";"2.7. Tutelles mineurs";"15 Incapacités des mineurs";"15C";"15C Demande d'ouverture d'une tutelle - Incapacité des mineurs -";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"2. JAF";"2.7. Tutelles mineurs";"15 Incapacités des mineurs";"15D";"15D Recours exercé à l'encontre d'une décision d'un organe tutélaire - Incapacité des mineurs -";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"2. JAF";"2.7. Tutelles mineurs";"15 Incapacités des mineurs";"15E";"15E Demande d'émancipation";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"2. JAF";"2.7. Tutelles mineurs";"15 Incapacités des mineurs";"15F";"15F Demande d'autorisation d'un acte ou de désignation d'un administrateur ad hoc dans le cadre d'une administration légale";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"2. JAF";"2.7. Tutelles mineurs";"15 Incapacités des mineurs";"15G";"15G Demande aux fins de contrôle d'un acte dans des situations à risque";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"2. JAF";"2.7. Tutelles mineurs";"15 Incapacités des mineurs";"15H";"15H Demande aux fins de levée de contrôle d'un acte";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"2. JAF";"2.7. Tutelles mineurs";"15 Incapacités des mineurs";"15Z";"15Z Autres demandes relatives à l'incapacité des mineurs";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"2. JAF";"2.8. Référés et mesures urgentes";"Référés";;;;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"2. JAF";"2.8. Référés et mesures urgentes";"Mesures urgentes";"Assignations à jour fixe";;;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"2. JAF";"2.8. Référés et mesures urgentes";"Mesures urgentes";"Ordonnances de protection";"PP9H";"PP9H Ordonnances de protection";;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"2. JAF";"2.9. Autres JAF";"0 Sans nature d'affaire";"00A";"00A Sans nature d'affaire";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"2. JAF";"2.9. Autres JAF";"12 Nom - Prénom";"12D";"12D Demande de changement de prénom";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"2. JAF";"2.9. Autres JAF";"12 Nom - Prénom";"12Z";"12Z Autres demandes en matière de nom ou de prénom";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"2. JAF";"2.9. Autres JAF";"20 Divorce";"20I";"20I Demande en divorce par consentement mutuel";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"2. JAF";"2.9. Autres JAF";"20 Divorce";"20K";"20K Demande en divorce par consentement mutuel - passerelle -";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"2. JAF";"2.9. Autres JAF";"21 Séparation de corps";"21F";"21F Demande de modification des mesures provisoires - séparation de corps -";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"2. JAF";"2.9. Autres JAF";"21 Séparation de corps";"21G";"21G Action en opposabilité ou en inopposabilité d'une décision prononçant la séparation de corps rendue à l'étranger";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"2. JAF";"2.9. Autres JAF";"21 Séparation de corps";"21H";"21H Demande en séparation de corps par consentement mutuel";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"2. JAF";"2.9. Autres JAF";"21 Séparation de corps";"21I";"21I Demande en séparation de corps autre que par consentement mutuel";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"2. JAF";"2.9. Autres JAF";"21 Séparation de corps";"21J";"21J Demande en séparation de corps par consentement mutuel - passerelle";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"2. JAF";"2.9. Autres JAF";"21 Séparation de corps";"21K";;;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"2. JAF";"2.9. Autres JAF";"21 Séparation de corps";"21X";"21X Séparation de corps- nature d'affaire indéterminée";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"1. Social";"1.1. Contentieux du travail";"80 Relations individuelles de travail";"80A";"80A Demande d'indemnités liées à la rupture du contrat de travail CDI ou CDD, son exécution ou inexécution";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"1. Social";"1.1. Contentieux du travail";"80 Relations individuelles de travail";"80B";"80B Demande d'indemnités liées à la rupture du contrat de travail pour motif économique";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"1. Social";"1.1. Contentieux du travail";"80 Relations individuelles de travail";"80C";"80C Demande d'indemnités ou de salaires";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"1. Social";"1.1. Contentieux du travail";"80 Relations individuelles de travail";"80D";"80D Demande d'annulation d'une sanction disciplinaire";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"1. Social";"1.1. Contentieux du travail";"80 Relations individuelles de travail";"80E";"80E Demande d'autorisation judiciaire de congé particulier";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"1. Social";"1.1. Contentieux du travail";"80 Relations individuelles de travail";"80F";"80F Demande de remise de documents";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"1. Social";"1.1. Contentieux du travail";"80 Relations individuelles de travail";"80G";"80G Demande en paiement de créances salariales en l'absence de rupture du contrat de travail";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"1. Social";"1.1. Contentieux du travail";"80 Relations individuelles de travail";"80H";"80H Demande présentée par un employeur liée à la rupture du contrat de travail ou à des créances salariales";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"1. Social";"1.1. Contentieux du travail";"80 Relations individuelles de travail";"80I";"80I Demande dirigée par un salarié contre un autre salarié";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"1. Social";"1.1. Contentieux du travail";"80 Relations individuelles de travail";"80J";"80J Contestation du motif non économique de la rupture du contrat de travail";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"1. Social";"1.1. Contentieux du travail";"80 Relations individuelles de travail";"80K";"80K Contestation du motif économique de la rupture du contrat de travail";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"1. Social";"1.1. Contentieux du travail";"80 Relations individuelles de travail";"80L";"80L Demande de prise d'acte de la rupture du contrat de travail";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"1. Social";"1.1. Contentieux du travail";"80 Relations individuelles de travail";"80M";"80M Demande de résiliation ou de résolution judiciaire du contrat de travail formée par un salarié";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"1. Social";"1.1. Contentieux du travail";"80 Relations individuelles de travail";"80N";"80N Demande de mise à la retraite formée par un salarié";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"1. Social";"1.1. Contentieux du travail";"80 Relations individuelles de travail";"80O";"80O Demande de requalification du contrat de travail";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"1. Social";"1.1. Contentieux du travail";"80 Relations individuelles de travail";"80P";"80P Demande en paiement de créances salariales sans contestation du motif de la rupture du contrat de travail";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"1. Social";"1.1. Contentieux du travail";"80 Relations individuelles de travail";"80Q";"80Q Demande d'annulation d'une sanction disciplinaire";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"1. Social";"1.1. Contentieux du travail";"80 Relations individuelles de travail";"80R";"80R Demande d'autorisation judiciaire de congé particulier ou demande de congés formation";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"1. Social";"1.1. Contentieux du travail";"80 Relations individuelles de travail";"80S";"80S Demande de remise de documents";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"1. Social";"1.1. Contentieux du travail";"80 Relations individuelles de travail";"80T";"80T Demande en paiement de créances salariales en l'absence de rupture du contrat de travail";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"1. Social";"1.1. Contentieux du travail";"80 Relations individuelles de travail";"80U";"80U Demande présentée par un employeur liée à la rupture du contrat de travail ou à des créances salariales";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"1. Social";"1.1. Contentieux du travail";"80 Relations individuelles de travail";"80V";"80V Demande dirigée par un salarié contre un autre salarié";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"1. Social";"1.1. Contentieux du travail";"80 Relations individuelles de travail";"80W";"80W Contestation en matière de médecine du travail";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"1. Social";"1.1. Contentieux du travail";"80 Relations individuelles de travail";"80X";"80X Relations individuelles de travail- nature d'affaire indéterminée";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"1. Social";"1.1. Contentieux du travail";"80 Relations individuelles de travail";"80Y";"80Y Demande de nullité de la rupture du contrat de travail";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"1. Social";"1.1. Contentieux du travail";"81 Elections professionnelles";"81A";"81A Demande relative à l'organisation des élections des institutions représentatives du personnel dans l'entreprise";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"1. Social";"1.1. Contentieux du travail";"81 Elections professionnelles";"81B";"81B Demande relative à l'inscription sur les listes électorales ou sur la liste des candidats pour l'élection des institutions représentatives du personnel dans l'entreprise";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"1. Social";"1.1. Contentieux du travail";"81 Elections professionnelles";"81C";"81C Demande d'annulation du scrutin d'élection d'une institution représentative du personnel de l'entreprise ou d'un scrutin de révocation";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"1. Social";"1.1. Contentieux du travail";"81 Elections professionnelles";"81D";"81D Demande d'annulation de la désignation élective de représentants du personnel des institutions représentatives ou d'un scrutin de révocation";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"1. Social";"1.1. Contentieux du travail";"81 Elections professionnelles";"81E";"81E Demande relative à la constitution, la composition ou l'inclusion dans un groupe";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"1. Social";"1.1. Contentieux du travail";"81 Elections professionnelles";"81F";"81F Demande relative à la désignation des représentants du personnel au comité de groupe";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"1. Social";"1.1. Contentieux du travail";"81 Elections professionnelles";"81G";"81G Demande relative à l'élection de représentants des salariés au conseil d'une entreprise du secteur public ou d'une société privée";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"1. Social";"1.1. Contentieux du travail";"81 Elections professionnelles";"81H";"81H Demande en révocation d'un administrateur salarié pour faute";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"1. Social";"1.1. Contentieux du travail";"81 Elections professionnelles";"81I";"81I Demande relative à l'élection d'autres représentants du personnel";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"1. Social";"1.1. Contentieux du travail";"81 Elections professionnelles";"81J";"81J Demande relative aux élections des conseillers prud'hommes";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"1. Social";"1.1. Contentieux du travail";"81 Elections professionnelles";"81K";"81K Contestation de la décision administrative relative au scrutin sur sigle organisé dans les très petites entreprises";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"1. Social";"1.1. Contentieux du travail";"82 Représentation des intérêts des salariés";"82A";"82A Demande de moyens de fonctionnement d'une institution représentative du personnel";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"1. Social";"1.1. Contentieux du travail";"82 Représentation des intérêts des salariés";"82B";"82B Demande en exécution d'obligations corrélatives aux attributions de représentants du personnel";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"1. Social";"1.1. Contentieux du travail";"82 Représentation des intérêts des salariés";"82C";"82C Demande relative à la désignation, au mandat ou la rémunération d'un expert";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"1. Social";"1.1. Contentieux du travail";"82 Représentation des intérêts des salariés";"82D";"82D Demande en nullité d'une délibération d'une institution représentative";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"1. Social";"1.1. Contentieux du travail";"82 Représentation des intérêts des salariés";"82E";"82E Autres demandes des représentants du personnel";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"1. Social";"1.1. Contentieux du travail";"82 Représentation des intérêts des salariés";"82F";"82F Autres demandes contre une institution représentative en raison de son fonctionnement";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"1. Social";"1.1. Contentieux du travail";"82 Représentation des intérêts des salariés";"82G";"82G Demande relative à l'expression directe des salariés";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"1. Social";"1.1. Contentieux du travail";"82 Représentation des intérêts des salariés";"82H";"82H Demande relative à la personnalité juridique d'un syndicat";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"1. Social";"1.1. Contentieux du travail";"82 Représentation des intérêts des salariés";"82I";"82I Demande d'annulation de la désignation ou de la révocation d'un délégué syndical ou d'un représentant syndical au comité d'entreprise";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"1. Social";"1.1. Contentieux du travail";"82 Représentation des intérêts des salariés";"82J";"82J Autres demandes contre un syndicat";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"1. Social";"1.1. Contentieux du travail";"82 Représentation des intérêts des salariés";"82K";"82K Demande relative à un plan de sauvegarde de l'emploi";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"1. Social";"1.1. Contentieux du travail";"83 Statut des salariés protégés";"83A";"83A Demande en paiement d'heures consacrées aux fonctions";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"1. Social";"1.1. Contentieux du travail";"83 Statut des salariés protégés";"83B";"83B Demande d'annulation d'une sanction disciplinaire frappant un salarié protégé";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"1. Social";"1.1. Contentieux du travail";"83 Statut des salariés protégés";"83C";"83C Demande d'indemnités ou de salaires liée à la rupture autorisée ou non d'un contrat de travail d'un salarié protégé";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"1. Social";"1.1. Contentieux du travail";"83 Statut des salariés protégés";"83D";"83D Demande en résiliation du contrat de travail d'un administrateur salarié de société";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"1. Social";"1.1. Contentieux du travail";"83 Statut des salariés protégés";"83E";"83E Autres demandes d'un salarié protégé";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"1. Social";"1.1. Contentieux du travail";"83 Statut des salariés protégés";"83F";"83F Demande d'un employeur contre un salarié protégé";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"1. Social";"1.1. Contentieux du travail";"83 Statut des salariés protégés";"83G";"83G Demande de résiliation ou de résolution judiciaire du contrat de travail formée par un salarié protégé";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"1. Social";"1.1. Contentieux du travail";"83 Statut des salariés protégés";"83H";"83H Autres demandes d'un salarié protégé";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"1. Social";"1.1. Contentieux du travail";"83 Statut des salariés protégés";"83I";"83I Demande d'un employeur contre un salarié protégé";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"1. Social";"1.1. Contentieux du travail";"84 Condition du personnel dans les procédures de sauvegarde, de redressement ou de liquidation judiciaire";"84A";"84A Demande en annulation de la désignation du représentant des salariés ou des institutions représentatives du personnel";;;;;;;;;;;
